City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
78,bilibino,68.0546,166.4372,240.2,99,100,1.09,RU,04-02-2025
79,mahibadhoo,3.7833,72.9667,301.0,72,0,5.32,MV,03-02-2025
80,margaret river,-33.95,115.0667,287.7,85,0,5.76,AU,04-02-2025
81,rio grande,-32.035,-52.0986,301.16,73,0,7.55,BR,03-02-2025
82,chilecito,-29.1619,-67.4974,306.52,31,1,3.47,AR,03-02-2025
83,midvagur,62.0511,-7.1939,280.61,70,100,12.35,FO,03-02-2025
84,saipan,15.1355,145.701,298.54,88,40,4.12,MP,04-02-2025
85,pisco,-13.7,-76.2167,301.18,61,0,4.12,PE,03-02-2025
86,staryye ozinki,51.1786,49.6769,272.1,98,100,3.37,RU,03-02-2025
87,maple ridge,49.2194,-122.6019,269.99,85,100,3.6,CA,03-02-2025
88,videira,-27.0083,-51.1517,299.06,68,100,0.47,BR,03-02-2025
89,ilulissat,69.2167,-51.1,248.39,99,100,2.07,GL,03-02-2025
90,brookings,44.3114,-96.7984,264.92,76,100,7.72,US,03-02-2025
91,tadine,-21.55,167.8833,299.1,92,87,10.33,NC,04-02-2025
92,kupang,-10.1667,123.5833,300.47,100,75,1.54,ID,04-02-2025
93,sisimiut,66.9395,-53.6735,256.41,96,100,2.7,GL,03-02-2025
94,crane,31.3974,-102.3501,297.34,17,0,3.8,US,03-02-2025
95,saacow,1.6279,42.4407,299.21,57,11,7.64,SO,03-02-2025
96,nanga eboko,4.6833,12.3667,299.04,23,47,1.27,CM,03-02-2025
97,tacna,-18.0056,-70.2483,299.26,44,0,5.14,PE,03-02-2025
98,itoman,26.1247,127.6694,287.16,62,75,12.86,JP,04-02-2025
99,tucuma,-0.1833,-50.05,300.06,86,100,2.97,BR,03-02-2025
100,geraldton,-28.7667,114.6,293.38,83,0,4.12,AU,04-02-2025
101,tomohon,1.3346,124.8392,291.44,92,100,0.23,ID,04-02-2025
102,xiazhuang,34.9161,118.6389,269.49,35,2,2.03,CN,04-02-2025
103,tazovsky,67.4667,78.7,239.62,100,100,1.67,RU,03-02-2025
104,balakhta,55.38,91.6,255.86,99,95,0.63,RU,04-02-2025
105,nemuro,43.3236,145.575,272.51,87,100,13.17,JP,04-02-2025
106,bryan,30.6744,-96.37,298.05,71,75,6.17,US,03-02-2025
107,broken hill,-31.95,141.4333,300.27,44,17,3.8,AU,04-02-2025
108,namibe,-15.1961,12.1522,296.41,81,100,4.11,AO,03-02-2025
109,tura,25.5198,90.2201,287.86,63,0,1.49,IN,04-02-2025
110,blackmans bay,-43.0167,147.3167,290.22,88,25,2.83,AU,04-02-2025
111,keflavik,64.0049,-22.5624,275.39,75,75,13.38,IS,03-02-2025
112,papatowai,-46.5619,169.4708,285.52,71,98,3.84,NZ,04-02-2025
113,cove,7.221,2.3402,304.03,53,35,4.41,BJ,03-02-2025
114,paso de los libres,-29.7131,-57.0899,312.17,29,40,2.57,AR,03-02-2025
115,jaguarari,-10.2639,-40.1958,301.22,49,0,3.6,BR,03-02-2025
116,east ballina,-28.8667,153.5833,295.08,90,99,0.42,AU,04-02-2025
117,ilhabela,-23.7781,-45.3581,298.75,88,100,1.48,BR,03-02-2025
118,tres arroyos,-38.3739,-60.2798,302.74,39,38,8.36,AR,03-02-2025
119,darwin,-12.4611,130.8418,303.14,84,100,5.14,AU,04-02-2025
120,antofagasta,-23.65,-70.4,296.75,73,3,3.27,CL,03-02-2025
121,richards bay,-28.783,32.0377,297.36,90,100,2.2,ZA,03-02-2025
122,johvi,59.3592,27.4211,267.66,86,100,4.11,EE,03-02-2025
123,cantaura,9.3057,-64.3584,305.78,39,100,6.56,VE,03-02-2025
124,pacific grove,36.6177,-121.9166,289.07,84,100,8.05,US,03-02-2025
125,tolanaro,-25.0319,46.9987,300.19,69,20,6.17,MG,03-02-2025
126,lecheng,25.1238,113.3254,279.67,94,76,1.55,CN,04-02-2025
127,vila franca do campo,37.7167,-25.4333,291.42,99,100,4.81,PT,03-02-2025
128,tual,-5.6667,132.75,300.89,80,100,9.89,ID,04-02-2025
129,acapulco de juarez,16.8634,-99.8901,302.05,74,0,3.09,MX,03-02-2025
130,gebeit,21.0667,36.3167,291.62,42,68,3.46,SD,03-02-2025
131,tyumentsevo,53.3224,81.498,263.12,97,97,2.1,RU,04-02-2025
132,virginia,37.5481,-77.4467,293.16,47,75,3.6,US,03-02-2025
133,turbat,26.0023,63.044,290.09,28,0,1.7,PK,03-02-2025
134,madang,-5.2246,145.7966,297.99,91,100,1.8,PG,04-02-2025
135,klyuchi,52.2667,79.1667,269.95,95,100,1.51,RU,04-02-2025
136,ratnagiri,16.9833,73.3,296.39,75,99,3.55,IN,04-02-2025
137,cestos city,5.46,-9.5828,300.34,77,5,3.72,LR,03-02-2025
138,mananjary,-21.2167,48.3333,297.57,81,99,5.37,MG,03-02-2025
139,chonchi,-42.6128,-73.8092,287.66,71,100,1.06,CL,03-02-2025
140,east london,-33.0153,27.9116,296.47,81,70,6.33,ZA,03-02-2025
141,praia da vitoria,38.7333,-27.0667,287.29,100,75,6.08,PT,03-02-2025
142,ugoofaaru,5.6667,73.0,300.89,71,14,3.23,MV,03-02-2025
143,hamilton,39.1834,-84.5333,292.84,54,0,7.2,US,03-02-2025
144,lejanias,3.5251,-74.0216,301.41,49,98,3.25,CO,03-02-2025
145,allapalli,19.4167,80.0667,296.27,49,64,1.31,IN,04-02-2025
146,pendleton,45.6721,-118.7886,277.57,83,75,0.0,US,03-02-2025
147,san pedro pochutla,15.7333,-96.4667,305.77,42,9,4.0,MX,03-02-2025
148,udachny,66.4167,112.4,258.26,93,100,14.14,RU,04-02-2025
149,mejit,10.2753,170.8646,299.58,74,84,9.59,MH,04-02-2025
150,tiksi,71.6872,128.8694,246.99,99,100,3.01,RU,04-02-2025
151,vorgashor,67.5833,63.95,244.76,96,10,2.61,RU,03-02-2025
152,barpathar,26.3,93.8667,288.33,67,0,0.65,IN,04-02-2025
153,port mathurin,-19.6833,63.4167,300.29,85,36,4.92,MU,03-02-2025
154,tazacorte,28.629,-17.9293,291.69,92,100,6.17,ES,03-02-2025
155,danilovka,50.3557,44.1168,272.61,98,100,1.61,RU,03-02-2025
156,kiffa,16.6166,-11.4045,295.27,9,1,4.11,MR,03-02-2025
157,touros,-5.1989,-35.4608,301.55,67,98,6.7,BR,03-02-2025
158,badger,64.8,-147.5333,261.08,78,75,2.06,US,03-02-2025
159,dauphin,51.1494,-100.0502,250.23,70,0,8.23,CA,03-02-2025
160,sitka,57.0531,-135.33,271.09,26,0,0.0,US,03-02-2025
161,flin flon,54.7682,-101.865,251.06,71,75,5.66,CA,03-02-2025
162,kodiak,57.79,-152.4072,272.88,86,0,5.14,US,03-02-2025
163,fort bragg,35.139,-79.006,292.41,58,0,5.14,US,03-02-2025
